Código del ámbito,Ámbito,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"OA","Series temporales anuales","551","Población rural","3010","Población-Estimaciones","2023","2023","1000 No.","8557.3","E","Valor estimado"
"OA","Series temporales anuales","561","Población urbana","3010","Población-Estimaciones","2023","2023","1000 No.","37829.58","E","Valor estimado"
