Código del ámbito,Ámbito,Código del elemento,Elemento,Código del producto,Producto,Código del año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"OA","Series temporales anuales","551","Población rural","3010","Población-Estimaciones","2023","2023","1000 No.","16489.35","E","Valor estimado"
"OA","Series temporales anuales","561","Población urbana","3010","Población-Estimaciones","2023","2023","1000 No.","42343.69","E","Valor estimado"
